id,location,latitude,longitude,time_of_day,weather,road_type,traffic_density,accident_count,risk_level
1085,Ravi Nagar,21.15362,79.05608,20,Cloudy,Junction,High,5,High
1086,Dharampeth,21.11336,79.06358,20,Fog,Urban,Medium,5,High
1087,Civil Lines,21.16749,79.06544,1,Haze,Urban,Medium,4,Medium
1088,Trimurti Nagar,21.1367,79.04409,4,Clear,Flyover,Low,7,Medium
1089,Pratap Nagar,21.11206,79.06958,8,Cloudy,City Road,Medium,2,Low
1090,Zero Mile,21.14833,79.07055,22,Fog,Highway,Low,4,High
1091,Itwari,21.1608,79.08877,21,Rain,City Road,Low,6,Medium
1092,Sadar,21.13141,79.09425,12,Rain,Flyover,Medium,7,High
1093,Nandanvan,21.11643,79.12531,17,Fog,Junction,Medium,6,High
1094,Mankapur,21.13633,79.0578,3,Clear,Urban,Low,3,Medium
1095,Nagpur Railway Stn,21.15054,79.09659,14,Clear,Urban,Medium,4,Low
1096,Ambazari,21.13189,78.99888,19,Rain,Junction,Medium,4,High
1097,Beltarodi,21.0673,79.02021,12,Clear,Highway,High,6,Medium
1098,Koradi,21.26011,78.99463,1,Clear,Urban,Low,3,Medium
1099,Butibori,20.98711,79.04629,17,Fog,Flyover,Medium,6,High
1100,MIDC Hingna,21.10283,78.99103,2,Rain,Junction,Medium,1,High
1101,Sitabuldi Junction,21.13655,79.08938,15,Clear,Junction,High,3,Medium
1102,Wardha Road,21.08936,79.06807,16,Clear,City Road,High,6,Low
1103,Hingna T Point,21.1191,78.96208,15,Cloudy,Highway,Low,7,Low
1104,Chatrapati Square,21.12153,79.07875,12,Clear,Highway,Low,7,Medium
1105,Ravi Nagar,21.13506,79.04947,23,Rain,Urban,Medium,4,High
1106,Dharampeth,21.12648,79.07615,19,Clear,City Road,High,3,Medium
1107,Civil Lines,21.15357,79.08542,21,Fog,Highway,High,3,High
1108,Trimurti Nagar,21.12909,79.04681,22,Fog,Ring Road,High,2,High
1109,Pratap Nagar,21.11083,79.03954,5,Clear,Ring Road,Low,3,Medium
1110,Zero Mile,21.13809,79.08642,9,Fog,City Road,Medium,5,Medium
1111,Itwari,21.15504,79.09343,5,Rain,City Road,High,3,High
1112,Sadar,21.15066,79.08352,5,Clear,City Road,Medium,5,Medium
1113,Nandanvan,21.13526,79.10315,0,Rain,Junction,Medium,3,High
1114,Mankapur,21.11647,79.04864,17,Rain,Highway,Medium,7,High
1115,Nagpur Railway Stn,21.14126,79.09437,11,Clear,Flyover,Medium,3,Medium
1116,Ambazari,21.12575,78.99845,16,Clear,Junction,Low,5,Medium
1117,Beltarodi,21.05779,79.01737,7,Haze,Highway,High,4,Medium
1118,Koradi,21.25405,79.00849,3,Rain,Ring Road,Low,5,Medium
1119,Butibori,20.97879,79.03089,22,Haze,City Road,Low,4,Medium
1120,MIDC Hingna,21.08295,78.9888,14,Clear,Junction,Medium,2,Medium
1121,Sitabuldi Junction,21.14437,79.069,16,Rain,Flyover,Medium,5,Medium
1122,Wardha Road,21.08919,79.0755,20,Clear,City Road,Low,3,Medium
1123,Hingna T Point,21.09837,78.98718,15,Fog,Highway,Medium,4,Medium
1124,Chatrapati Square,21.11284,79.10228,18,Rain,Flyover,Medium,6,High
1125,Ravi Nagar,21.13026,79.04925,7,Rain,City Road,Low,6,Low
1126,Dharampeth,21.13513,79.07354,1,Clear,Flyover,Medium,1,Medium
1127,Civil Lines,21.13518,79.08476,3,Cloudy,City Road,High,5,Medium
1128,Trimurti Nagar,21.13821,79.03725,16,Clear,City Road,Low,2,Low
1129,Pratap Nagar,21.11762,79.05976,0,Haze,Urban,Medium,5,Medium
1130,Zero Mile,21.13183,79.10429,16,Cloudy,Junction,High,2,Medium
1131,Itwari,21.16864,79.08691,1,Fog,City Road,High,4,High
1132,Sadar,21.14997,79.07311,14,Fog,City Road,Low,4,Medium
1133,Nandanvan,21.14271,79.11822,8,Rain,Urban,Low,1,Low
1134,Mankapur,21.12174,79.04103,20,Fog,Junction,Low,3,High
1135,Nagpur Railway Stn,21.14974,79.07502,0,Clear,Ring Road,Low,6,Medium
1136,Ambazari,21.1457,79.00391,6,Rain,City Road,Low,4,Low
1137,Beltarodi,21.07849,79.02504,2,Cloudy,Ring Road,Medium,4,Medium
1138,Koradi,21.25588,79.00217,11,Cloudy,Flyover,High,3,Medium
1139,Butibori,20.98711,79.04029,1,Rain,Urban,Medium,5,Medium
1140,MIDC Hingna,21.10661,78.99617,3,Rain,Junction,Low,6,High
1141,Sitabuldi Junction,21.16126,79.09689,9,Haze,Junction,High,3,Medium
1142,Wardha Road,21.07756,79.07036,15,Rain,Flyover,Low,5,Medium
1143,Hingna T Point,21.10873,78.98449,23,Rain,City Road,High,5,High
1144,Chatrapati Square,21.10583,79.08327,18,Rain,City Road,High,4,Medium
1145,Ravi Nagar,21.12937,79.0373,17,Haze,Highway,Medium,2,Medium
1146,Dharampeth,21.14543,79.06193,5,Rain,Junction,High,5,High
1147,Civil Lines,21.14393,79.0988,18,Clear,Junction,Medium,3,Medium
1148,Trimurti Nagar,21.14739,79.02888,21,Cloudy,Urban,Medium,3,Medium
1149,Pratap Nagar,21.11025,79.03941,15,Haze,City Road,Medium,4,Low
1150,Zero Mile,21.14848,79.09653,1,Clear,City Road,Medium,5,Medium
1151,Itwari,21.15934,79.09138,15,Clear,Flyover,Low,1,Low
1152,Sadar,21.14176,79.10019,8,Cloudy,Flyover,Low,1,Low
1153,Nandanvan,21.1214,79.11559,13,Clear,City Road,Low,3,Low
1154,Mankapur,21.10674,79.04526,23,Haze,Highway,High,2,High
1155,Nagpur Railway Stn,21.16151,79.10417,5,Cloudy,Highway,Medium,4,Medium
1156,Ambazari,21.11486,78.99158,14,Cloudy,Highway,Low,2,Low
1157,Beltarodi,21.06273,79.04826,19,Clear,Junction,Medium,7,Medium
1158,Koradi,21.25627,79.01141,2,Clear,Junction,Medium,2,Medium
1159,Butibori,20.98054,79.04273,4,Fog,Ring Road,Medium,4,High
1160,MIDC Hingna,21.08927,78.98223,9,Rain,Highway,High,2,Medium
1161,Sitabuldi Junction,21.14705,79.10395,16,Rain,Highway,High,1,Medium
1162,Wardha Road,21.08421,79.05124,2,Cloudy,Flyover,High,5,High
1163,Hingna T Point,21.0905,78.98982,15,Rain,Flyover,High,6,High
1164,Chatrapati Square,21.11217,79.08003,17,Cloudy,Flyover,Low,5,Medium
1165,Ravi Nagar,21.15272,79.04347,7,Haze,City Road,Medium,4,Medium
1166,Dharampeth,21.12595,79.05548,14,Clear,City Road,Low,1,Low
1167,Civil Lines,21.14905,79.07024,8,Haze,Highway,Medium,5,Medium
1168,Trimurti Nagar,21.13643,79.06278,7,Rain,City Road,Low,3,Low
1169,Pratap Nagar,21.11571,79.05818,0,Clear,City Road,Medium,7,Medium
1170,Zero Mile,21.14649,79.0942,10,Clear,Junction,High,3,Medium
1171,Itwari,21.16838,79.11479,7,Clear,Ring Road,Medium,0,Low
1172,Sadar,21.13421,79.08214,15,Cloudy,Urban,Low,3,Low
1173,Nandanvan,21.12894,79.12986,23,Cloudy,City Road,Medium,3,Medium
1174,Mankapur,21.12984,79.04504,3,Clear,Highway,High,2,High
1175,Nagpur Railway Stn,21.13324,79.09216,5,Clear,Junction,Low,4,Medium
1176,Ambazari,21.11595,79.00601,3,Rain,Flyover,Low,2,High
1177,Beltarodi,21.06094,79.0331,6,Rain,City Road,High,7,Medium
1178,Koradi,21.26596,78.99352,7,Rain,Highway,Low,3,Medium
1179,Butibori,20.98348,79.05201,3,Cloudy,Urban,Medium,3,Medium
1180,MIDC Hingna,21.0731,79.00373,22,Rain,Junction,Low,1,High
1181,Sitabuldi Junction,21.16222,79.08831,18,Clear,Junction,Medium,1,Medium
1182,Wardha Road,21.08062,79.04835,2,Fog,City Road,High,8,High
1183,Hingna T Point,21.09854,78.98423,13,Rain,Ring Road,Medium,5,Medium
1184,Chatrapati Square,21.12146,79.08049,9,Rain,Flyover,High,4,High
1185,Ravi Nagar,21.13855,79.04394,9,Clear,City Road,Low,2,Low
1186,Dharampeth,21.14565,79.06798,4,Rain,City Road,Medium,2,Medium
1187,Civil Lines,21.13784,79.0903,6,Cloudy,Flyover,High,4,Medium
1188,Trimurti Nagar,21.15397,79.051,19,Clear,Highway,Medium,5,Medium
1189,Pratap Nagar,21.12632,79.04387,12,Clear,City Road,High,10,Low
1190,Zero Mile,21.16373,79.06937,4,Clear,City Road,Low,3,Low
1191,Itwari,21.16475,79.11037,12,Rain,Junction,High,2,Medium
1192,Sadar,21.1451,79.06736,16,Clear,City Road,High,4,Medium
1193,Nandanvan,21.13558,79.13491,5,Fog,City Road,Medium,6,High
1194,Mankapur,21.1378,79.02054,23,Clear,Urban,Medium,9,Medium
1195,Nagpur Railway Stn,21.12899,79.07531,4,Clear,Highway,High,2,High
1196,Ambazari,21.11154,78.98914,19,Fog,Ring Road,Medium,6,Medium
1197,Beltarodi,21.07571,79.02832,3,Cloudy,Junction,Low,6,Medium
1198,Koradi,21.23548,79.00261,13,Rain,Urban,Low,4,Low
1199,Butibori,20.9582,79.06579,19,Clear,City Road,High,6,Medium
1200,MIDC Hingna,21.07382,78.99763,14,Cloudy,City Road,Low,6,Low
1201,Sitabuldi Junction,21.15893,79.08714,12,Cloudy,Highway,High,6,Medium
1202,Wardha Road,21.08544,79.07082,3,Fog,Junction,Low,3,High
1203,Hingna T Point,21.10757,78.96279,11,Rain,Junction,Low,6,Medium
1204,Chatrapati Square,21.11547,79.0824,16,Haze,Urban,High,1,Medium
1205,Ravi Nagar,21.13236,79.05493,18,Clear,City Road,Medium,2,Low
1206,Dharampeth,21.12752,79.08104,15,Clear,Junction,Low,3,Low
1207,Civil Lines,21.16655,79.06993,10,Fog,Ring Road,High,1,Medium
1208,Trimurti Nagar,21.12956,79.03762,12,Rain,Highway,Low,1,Medium
1209,Pratap Nagar,21.12209,79.05548,14,Cloudy,Urban,Medium,2,Low
1210,Zero Mile,21.14028,79.07137,17,Rain,Junction,Medium,2,High
1211,Itwari,21.15875,79.11897,0,Clear,City Road,Medium,1,Medium
1212,Sadar,21.16773,79.08474,14,Rain,Ring Road,High,11,Medium
1213,Nandanvan,21.11467,79.12422,6,Clear,Highway,Medium,7,Medium
1214,Mankapur,21.10116,79.02162,19,Cloudy,Junction,Low,3,Medium
1215,Nagpur Railway Stn,21.15278,79.06898,6,Cloudy,Highway,Medium,8,Medium
1216,Ambazari,21.1246,78.9832,20,Clear,Junction,Medium,3,High
1217,Beltarodi,21.06395,79.02601,13,Haze,Highway,High,4,Medium
1218,Koradi,21.26442,79.00128,15,Cloudy,Ring Road,Low,3,Low
1219,Butibori,20.9734,79.03859,19,Clear,Junction,High,4,Medium
1220,MIDC Hingna,21.07322,79.00247,18,Haze,Junction,High,5,High
1221,Sitabuldi Junction,21.13522,79.07798,17,Clear,Urban,High,3,Medium
1222,Wardha Road,21.0722,79.05128,8,Clear,Urban,High,4,Low
1223,Hingna T Point,21.0998,78.97885,20,Rain,Flyover,Medium,5,High
1224,Chatrapati Square,21.12379,79.09372,4,Haze,Junction,High,4,High
1225,Ravi Nagar,21.1497,79.04808,10,Rain,City Road,High,3,Medium
1226,Dharampeth,21.13261,79.08649,4,Fog,Highway,Medium,5,High
1227,Civil Lines,21.15073,79.09811,1,Cloudy,Flyover,Low,4,Medium
1228,Trimurti Nagar,21.13841,79.06742,23,Clear,Ring Road,High,6,Medium
1229,Pratap Nagar,21.1343,79.03923,0,Clear,Junction,Medium,2,Medium
1230,Zero Mile,21.13634,79.07116,5,Clear,Urban,High,8,Medium
1231,Itwari,21.16891,79.10091,16,Cloudy,Flyover,High,8,Medium
1232,Sadar,21.13509,79.09647,2,Clear,Highway,High,4,Medium
1233,Nandanvan,21.14074,79.13032,14,Clear,Urban,Medium,3,Low
1234,Mankapur,21.11386,79.05596,15,Cloudy,Ring Road,High,5,Medium
1235,Nagpur Railway Stn,21.14802,79.09095,12,Cloudy,Urban,Medium,6,Low
1236,Ambazari,21.11382,78.9999,1,Rain,Flyover,Low,2,High
1237,Beltarodi,21.08831,79.01631,3,Clear,Highway,Low,5,Medium
1238,Koradi,21.26687,78.98692,6,Cloudy,Flyover,Medium,2,Medium
1239,Butibori,20.97202,79.04229,11,Clear,City Road,Medium,5,Low
1240,MIDC Hingna,21.09794,78.98611,1,Haze,Highway,Low,7,High
1241,Sitabuldi Junction,21.12828,79.10372,22,Haze,Ring Road,High,2,Medium
1242,Wardha Road,21.1049,79.05206,17,Clear,Highway,Medium,10,Medium
1243,Hingna T Point,21.0807,78.97621,3,Cloudy,City Road,Medium,1,Medium
1244,Chatrapati Square,21.12769,79.11422,4,Haze,City Road,Medium,5,Medium
1245,Ravi Nagar,21.12953,79.06018,1,Clear,City Road,High,8,Medium
1246,Dharampeth,21.13468,79.08118,22,Clear,City Road,Low,4,Medium
1247,Civil Lines,21.16213,79.07376,17,Clear,Junction,Medium,3,Medium
1248,Trimurti Nagar,21.14531,79.0557,3,Clear,Junction,Medium,2,High
1249,Pratap Nagar,21.12089,79.04185,23,Clear,Ring Road,Medium,7,Medium
1250,Zero Mile,21.16067,79.08776,4,Cloudy,Urban,Medium,7,Medium
1251,Itwari,21.16833,79.08209,13,Rain,Flyover,Low,3,Medium
1252,Sadar,21.16754,79.08875,16,Rain,Highway,High,2,Medium
1253,Nandanvan,21.11814,79.11124,23,Rain,Highway,Low,3,High
1254,Mankapur,21.1215,79.02641,13,Rain,Junction,High,1,High
1255,Nagpur Railway Stn,21.144,79.08526,23,Rain,Junction,Low,1,High
1256,Ambazari,21.12095,78.99874,20,Clear,Highway,Medium,4,Medium
1257,Beltarodi,21.06003,79.01917,12,Fog,City Road,Medium,1,Medium
1258,Koradi,21.2389,79.01809,15,Rain,City Road,High,7,Medium
1259,Butibori,20.956,79.06136,15,Clear,Junction,High,2,Medium
1260,MIDC Hingna,21.07634,79.00009,20,Cloudy,Highway,Low,6,Medium
1261,Sitabuldi Junction,21.14758,79.07641,2,Clear,Highway,Medium,3,Medium
1262,Wardha Road,21.10554,79.06242,5,Clear,Highway,Medium,5,Medium
1263,Hingna T Point,21.08615,78.9945,0,Rain,City Road,Low,3,Medium
1264,Chatrapati Square,21.10863,79.0778,15,Rain,Junction,Low,3,Medium
1265,Ravi Nagar,21.12984,79.04225,18,Haze,Highway,Low,3,Medium
1266,Dharampeth,21.14675,79.07436,1,Cloudy,Junction,High,6,High
1267,Civil Lines,21.16068,79.0883,5,Rain,City Road,High,2,High
1268,Trimurti Nagar,21.15471,79.03489,6,Rain,Urban,High,3,Medium
1269,Pratap Nagar,21.12268,79.03316,3,Clear,Urban,Low,1,Low
1270,Zero Mile,21.13519,79.07873,9,Rain,Highway,Medium,3,Medium
1271,Itwari,21.1701,79.08661,1,Clear,Junction,Medium,3,Medium
1272,Sadar,21.16774,79.09953,17,Rain,City Road,Medium,3,Medium
1273,Nandanvan,21.14531,79.1028,4,Fog,Junction,Medium,1,High
1274,Mankapur,21.10867,79.05309,22,Rain,Junction,High,2,High
1275,Nagpur Railway Stn,21.13683,79.09061,4,Cloudy,Junction,Medium,2,Medium
1276,Ambazari,21.14375,79.0009,2,Clear,Urban,High,7,Medium
1277,Beltarodi,21.0531,79.03387,11,Clear,Ring Road,Low,2,Low
1278,Koradi,21.24766,79.00117,9,Haze,Junction,Medium,4,Medium
1279,Butibori,20.98705,79.0334,12,Clear,Junction,Medium,6,Medium
1280,MIDC Hingna,21.07841,78.98351,15,Cloudy,City Road,Medium,3,Low
1281,Sitabuldi Junction,21.15852,79.10471,17,Clear,City Road,High,2,Medium
1282,Wardha Road,21.0863,79.04912,3,Fog,Junction,Low,0,High
1283,Hingna T Point,21.11431,78.96233,3,Rain,Urban,High,1,High
1284,Chatrapati Square,21.13936,79.09369,20,Cloudy,Junction,Low,4,Medium
1285,Ravi Nagar,21.13811,79.05255,11,Clear,Junction,Medium,6,Medium
1286,Dharampeth,21.14239,79.08811,4,Cloudy,Highway,High,3,High
1287,Civil Lines,21.15876,79.09829,10,Clear,Junction,Medium,5,Medium
1288,Trimurti Nagar,21.15453,79.05981,19,Cloudy,Ring Road,Medium,1,Low
1289,Pratap Nagar,21.12468,79.05985,5,Clear,City Road,Medium,5,Medium
1290,Zero Mile,21.16473,79.08156,22,Haze,Highway,Medium,5,High
1291,Itwari,21.13867,79.09053,15,Rain,Junction,Medium,5,Medium
1292,Sadar,21.15216,79.07497,23,Rain,City Road,Medium,4,Medium
1293,Nandanvan,21.11306,79.12824,17,Rain,Junction,High,4,High
1294,Mankapur,21.13897,79.04513,5,Clear,Junction,Low,2,Medium
1295,Nagpur Railway Stn,21.14197,79.07247,14,Clear,City Road,Medium,7,Low
1296,Ambazari,21.13469,79.0062,17,Cloudy,Highway,High,5,Medium
1297,Beltarodi,21.06277,79.01578,15,Rain,Ring Road,High,2,Medium
1298,Koradi,21.26729,78.99002,17,Haze,Highway,Medium,6,High
1299,Butibori,20.95414,79.0439,6,Cloudy,Junction,Medium,2,Medium
1300,MIDC Hingna,21.09446,78.98276,14,Rain,City Road,Medium,5,Medium
1301,Sitabuldi Junction,21.16175,79.08701,3,Haze,City Road,Low,4,Medium
1302,Wardha Road,21.08436,79.06265,13,Clear,City Road,Medium,4,Low
1303,Hingna T Point,21.11074,78.97508,9,Rain,City Road,Low,3,Low
1304,Chatrapati Square,21.12505,79.07788,11,Clear,Flyover,Medium,5,Medium
1305,Ravi Nagar,21.12263,79.03529,21,Clear,Flyover,Medium,3,Medium
1306,Dharampeth,21.12214,79.07484,8,Clear,City Road,High,6,Low
1307,Civil Lines,21.16776,79.09398,12,Cloudy,Ring Road,Medium,7,Low
1308,Trimurti Nagar,21.16117,79.0596,10,Fog,City Road,Low,5,Low
1309,Pratap Nagar,21.10637,79.05816,20,Cloudy,Urban,Medium,4,Medium
1310,Zero Mile,21.13294,79.08337,5,Haze,Highway,Medium,7,High
1311,Itwari,21.1584,79.09407,0,Clear,Junction,Medium,8,High
1312,Sadar,21.14883,79.08771,13,Rain,Flyover,Medium,3,Medium
1313,Nandanvan,21.11262,79.11522,13,Rain,Highway,High,6,High
1314,Mankapur,21.11365,79.05866,14,Fog,Junction,Low,3,Medium
1315,Nagpur Railway Stn,21.14411,79.08348,9,Clear,Junction,Medium,6,Medium
1316,Ambazari,21.12353,78.98789,9,Rain,Highway,High,7,High
1317,Beltarodi,21.06663,79.03162,4,Rain,Junction,High,3,High
1318,Koradi,21.23948,79.01097,18,Cloudy,Flyover,Low,1,Medium
1319,Butibori,20.97068,79.03577,14,Clear,Junction,Low,6,Medium
1320,MIDC Hingna,21.10659,78.99283,16,Fog,Junction,Medium,6,Medium
1321,Sitabuldi Junction,21.15717,79.07897,15,Clear,City Road,Low,4,Low
1322,Wardha Road,21.08636,79.04114,23,Clear,Highway,Medium,5,High
1323,Hingna T Point,21.08137,78.98613,21,Haze,Junction,High,3,High
1324,Chatrapati Square,21.13738,79.07714,19,Rain,Urban,Medium,2,Medium
1325,Ravi Nagar,21.13784,79.03656,14,Cloudy,City Road,Low,3,Low
1326,Dharampeth,21.11383,79.05152,1,Rain,Highway,High,5,High
1327,Civil Lines,21.13456,79.07045,15,Cloudy,Highway,Medium,4,Medium
1328,Trimurti Nagar,21.15372,79.06444,6,Rain,Urban,High,3,Medium
1329,Pratap Nagar,21.11068,79.05784,22,Fog,Ring Road,Medium,2,Medium
1330,Zero Mile,21.13462,79.08224,8,Clear,Highway,Medium,5,Medium
1331,Itwari,21.16111,79.1105,18,Clear,City Road,Medium,3,Low
1332,Sadar,21.13304,79.09602,12,Fog,Urban,Medium,4,Medium
1333,Nandanvan,21.11984,79.12755,5,Cloudy,Junction,High,4,High
1334,Mankapur,21.12357,79.04888,2,Rain,Ring Road,Medium,6,High
1335,Nagpur Railway Stn,21.16571,79.07806,9,Clear,City Road,Medium,4,Low
1336,Ambazari,21.1384,79.00631,8,Clear,Ring Road,Medium,2,Low
1337,Beltarodi,21.07515,79.04541,9,Clear,Ring Road,High,4,Low
1338,Koradi,21.23149,79.00001,18,Rain,Highway,Low,5,High
1339,Butibori,20.96961,79.03571,13,Rain,Urban,High,3,Medium
1340,MIDC Hingna,21.08359,79.00338,16,Fog,Junction,Low,2,Medium
1341,Sitabuldi Junction,21.14781,79.08004,2,Clear,Highway,Low,2,Medium
1342,Wardha Road,21.08308,79.07553,12,Clear,Flyover,Medium,1,Low
1343,Hingna T Point,21.08545,78.96098,2,Clear,Highway,High,6,High
1344,Chatrapati Square,21.10655,79.10751,21,Rain,Urban,High,2,High
1345,Ravi Nagar,21.12559,79.04743,21,Clear,Junction,High,4,High
1346,Dharampeth,21.1363,79.08481,15,Fog,Flyover,Low,7,Medium
1347,Civil Lines,21.16491,79.10287,16,Haze,Urban,Medium,4,Low
1348,Trimurti Nagar,21.12501,79.04689,9,Clear,City Road,High,2,Low
1349,Pratap Nagar,21.10667,79.05029,13,Rain,Junction,Low,3,Medium
1350,Zero Mile,21.15856,79.08781,0,Rain,Ring Road,High,5,High
1351,Itwari,21.16858,79.1141,21,Fog,Junction,Low,2,High
1352,Sadar,21.16483,79.0757,3,Cloudy,City Road,Medium,2,Medium
1353,Nandanvan,21.12504,79.1336,7,Clear,Urban,Low,5,Low
1354,Mankapur,21.1034,79.04483,9,Rain,City Road,Medium,4,Medium
1355,Nagpur Railway Stn,21.13564,79.10463,10,Cloudy,Junction,Low,2,Low
1356,Ambazari,21.11791,78.97539,15,Clear,Junction,Medium,8,Medium
1357,Beltarodi,21.06888,79.04195,2,Cloudy,City Road,Low,1,Low
1358,Koradi,21.2632,79.00718,18,Clear,Highway,Low,7,Medium
1359,Butibori,20.98896,79.04806,5,Haze,Junction,High,4,High
1360,MIDC Hingna,21.10576,79.01858,10,Rain,City Road,High,2,Medium
1361,Sitabuldi Junction,21.14154,79.07045,7,Clear,Flyover,High,3,Medium
1362,Wardha Road,21.09598,79.04201,12,Clear,Junction,Medium,7,Medium
1363,Hingna T Point,21.11167,78.99535,20,Clear,Junction,High,5,High
1364,Chatrapati Square,21.13778,79.10022,19,Fog,Highway,High,3,High
1365,Ravi Nagar,21.12206,79.05941,3,Haze,Urban,Medium,4,Medium
1366,Dharampeth,21.13582,79.05524,9,Clear,Urban,Medium,4,Low
1367,Civil Lines,21.16357,79.10358,19,Rain,Ring Road,Medium,4,Medium
1368,Trimurti Nagar,21.14917,79.04011,3,Fog,Highway,High,5,High
1369,Pratap Nagar,21.10946,79.05972,4,Cloudy,Ring Road,Medium,4,Medium
1370,Zero Mile,21.15348,79.0811,6,Fog,Junction,Low,8,Medium
1371,Itwari,21.15987,79.10585,5,Clear,City Road,High,2,Medium
1372,Sadar,21.13099,79.07411,14,Cloudy,Flyover,Medium,4,Medium
1373,Nandanvan,21.12359,79.12538,14,Cloudy,Flyover,Low,5,Low
1374,Mankapur,21.10164,79.03983,2,Clear,Junction,Medium,7,High
1375,Nagpur Railway Stn,21.16295,79.06908,18,Haze,Urban,Low,7,Medium
1376,Ambazari,21.13125,78.98554,21,Clear,Flyover,High,2,High
1377,Beltarodi,21.08932,79.01232,17,Rain,Highway,Low,2,Medium
1378,Koradi,21.26,79.01786,6,Clear,Junction,High,2,Medium
1379,Butibori,20.95808,79.03619,20,Fog,Highway,Medium,3,High
1380,MIDC Hingna,21.09093,79.00938,20,Haze,Junction,Medium,2,High
1381,Sitabuldi Junction,21.15047,79.0751,3,Clear,Urban,Medium,0,Medium
1382,Wardha Road,21.08352,79.05211,20,Clear,Ring Road,Low,4,Medium
1383,Hingna T Point,21.10914,78.9738,14,Cloudy,Junction,Low,7,Medium
1384,Chatrapati Square,21.12199,79.10894,5,Rain,Highway,Low,2,High
1385,Ravi Nagar,21.14996,79.04807,8,Cloudy,Flyover,Medium,6,Medium
1386,Dharampeth,21.14682,79.07575,12,Clear,Highway,Low,6,Low
1387,Civil Lines,21.16118,79.0745,9,Clear,Urban,Low,4,Low
1388,Trimurti Nagar,21.13813,79.04498,6,Rain,Highway,Medium,2,Medium
1389,Pratap Nagar,21.09888,79.04931,5,Rain,Urban,Low,6,Medium
1390,Zero Mile,21.16242,79.08939,2,Fog,Junction,Medium,4,High
1391,Itwari,21.15961,79.10338,10,Rain,Junction,Low,8,Medium
1392,Sadar,21.16925,79.08019,12,Rain,City Road,High,7,Medium
1393,Nandanvan,21.11639,79.11532,14,Cloudy,Junction,Medium,5,Medium
1394,Mankapur,21.13053,79.04987,9,Haze,Ring Road,Medium,4,Low
1395,Nagpur Railway Stn,21.13013,79.10427,14,Haze,Ring Road,Medium,4,Low
1396,Ambazari,21.11532,78.99351,13,Fog,Junction,Medium,2,Medium
1397,Beltarodi,21.07613,79.02747,1,Cloudy,Junction,Low,1,Medium
1398,Koradi,21.23179,78.9882,15,Fog,Highway,High,2,Medium
1399,Butibori,20.95728,79.04296,21,Haze,Junction,Medium,5,High
1400,MIDC Hingna,21.07582,79.00424,10,Haze,City Road,High,7,Medium
1401,Sitabuldi Junction,21.14965,79.10264,14,Clear,Ring Road,Medium,6,Low
1402,Wardha Road,21.08582,79.07764,19,Rain,Junction,Medium,1,High
1403,Hingna T Point,21.10478,78.98995,1,Fog,Junction,Medium,2,High
1404,Chatrapati Square,21.12523,79.08876,23,Clear,City Road,High,7,Medium
1405,Ravi Nagar,21.12977,79.06114,1,Clear,Flyover,Medium,4,High
1406,Dharampeth,21.14406,79.05222,17,Clear,Urban,Low,5,Low
1407,Civil Lines,21.15795,79.07796,8,Rain,Junction,Medium,4,Medium
1408,Trimurti Nagar,21.14983,79.0585,8,Haze,Highway,Low,3,Medium
1409,Pratap Nagar,21.12612,79.04003,4,Cloudy,City Road,High,5,Medium
1410,Zero Mile,21.15799,79.07492,14,Rain,City Road,High,5,Medium
1411,Itwari,21.16774,79.10764,5,Clear,Highway,High,2,High
1412,Sadar,21.14568,79.08722,4,Rain,Flyover,Low,8,High
1413,Nandanvan,21.11651,79.12195,9,Rain,Ring Road,Medium,3,Medium
1414,Mankapur,21.10671,79.02182,16,Haze,City Road,Low,4,Low
1415,Nagpur Railway Stn,21.14661,79.09828,8,Rain,City Road,Low,5,Medium
1416,Ambazari,21.13795,78.99669,4,Rain,City Road,Medium,4,High
1417,Beltarodi,21.05116,79.03294,1,Rain,Junction,Medium,1,High
1418,Koradi,21.26299,79.0098,5,Fog,Junction,Medium,4,High
1419,Butibori,20.95405,79.04547,13,Clear,Urban,Low,7,Low
1420,MIDC Hingna,21.10605,78.98064,4,Clear,Highway,Medium,5,High
1421,Sitabuldi Junction,21.13714,79.09437,10,Rain,Ring Road,High,6,Medium
1422,Wardha Road,21.1032,79.06816,6,Clear,City Road,Medium,0,Low
1423,Hingna T Point,21.0832,78.99283,10,Rain,City Road,Medium,4,Medium
1424,Chatrapati Square,21.13599,79.10573,11,Clear,Ring Road,Low,2,Low
1425,Ravi Nagar,21.12155,79.03661,10,Cloudy,Urban,Low,5,Low
1426,Dharampeth,21.14792,79.05539,1,Rain,Highway,Low,4,High
1427,Civil Lines,21.17113,79.08385,0,Clear,Flyover,High,3,High
1428,Trimurti Nagar,21.15302,79.03697,11,Rain,City Road,Low,5,Low
1429,Pratap Nagar,21.1092,79.07017,11,Fog,City Road,Low,5,Medium
1430,Zero Mile,21.14505,79.08953,15,Clear,Junction,Low,3,Medium
1431,Itwari,21.15873,79.11404,20,Clear,Flyover,Medium,5,High
1432,Sadar,21.13403,79.0896,9,Fog,Ring Road,High,4,Medium
1433,Nandanvan,21.13443,79.10719,3,Rain,Urban,High,2,High
1434,Mankapur,21.13909,79.04351,7,Rain,Highway,Medium,4,Medium
1435,Nagpur Railway Stn,21.12955,79.07315,4,Rain,Junction,High,4,High
1436,Ambazari,21.10781,78.9929,8,Rain,Highway,Medium,2,Medium
